,10_6_5_11,9_6_5_11,purep53,JMS8-2,JMS8-3,JMS8-4,JMS8-5,JMS9-P7c,JMS9-P8c
497097,1,2,342,526,3,3,535,2,0
100503874,0,0,5,6,0,0,5,0,0
100038431,0,0,0,0,0,0,1,0,0
19888,0,1,0,0,17,2,0,1,0
20671,1,1,76,40,33,14,98,18,8
27395,431,771,1368,1268,1564,769,818,468,342
18777,768,1722,2517,1923,3865,1888,1830,1246,693
100503730,4,8,6,2,11,11,3,9,2
21399,810,977,2472,1870,2251,1716,1932,756,619
58175,452,358,17,14,622,571,12,203,224
108664,1716,2678,2097,2071,5499,3630,1731,1715,1251
18387,0,0,0,0,0,0,0,0,0
226304,0,0,0,0,0,0,0,0,0
12421,3451,2699,3399,2716,5233,6280,3647,1866,2122
620393,0,0,2,3,0,0,0,0,0
240690,0,0,0,1,0,0,0,0,0
319263,2026,2033,3920,2715,3873,3688,3593,1609,1348
71096,0,0,1,5,0,0,4,0,0
59014,956,985,5497,4214,3462,2933,5336,649,731
76187,54,76,46,32,148,126,59,44,27
72481,16,28,12,12,67,24,14,18,11
76982,21,9,21,44,35,34,29,8,15
17864,194,166,1007,862,632,594,901,100,131
70675,2390,2012,3500,3020,5412,4404,4173,1585,1522
73331,3,2,4,1,1,5,2,3,0
170755,87,323,734,565,721,249,666,267,113
620986,71,194,383,206,307,110,206,112,50
240697,0,0,9,8,3,1,7,0,1
73824,289,487,824,565,709,517,662,335,271
266793,4,6,54,10,18,19,43,9,6
100038398,16,25,67,92,51,45,55,12,5
100039596,3,3,9,12,7,0,8,2,3
69312,1,0,2,0,5,0,0,0,2
26754,1804,2499,4073,3409,5545,3344,3020,1731,1264
211660,745,826,1373,1008,1740,2137,1695,759,624
211673,6696,7131,11369,7972,17002,15128,11439,4956,4260
329093,2,0,802,553,0,3,616,0,1
109294,41,94,333,240,368,292,695,106,68
320492,0,2,45,40,5,0,40,0,1
329096,0,0,0,0,0,0,0,0,0
240725,106,103,2214,2008,152,232,2997,48,52
240726,12,6,22,34,22,21,47,6,4
383491,12,6,13,30,15,13,14,1,2
17978,4445,5657,6923,6358,12641,7967,7380,3986,2972
72265,5442,5371,6222,5709,13524,13690,6145,2981,3710
212442,334,890,379,354,1607,848,277,719,318
381246,1,1,0,0,1,1,0,0,2
433273,0,5,19,3,4,1,3,0,0
14048,1,1,1139,1001,8,24,948,9,10
17681,26,223,7,2,210,40,8,112,31
277328,0,0,0,0,0,0,0,0,0
98741,0,0,1,0,0,1,4,0,0
21749,266,375,822,520,633,445,540,364,217
226866,8,19,4535,3779,35,53,3958,15,10
665434,2,5,9,1,0,0,3,0,0
75799,0,0,6,10,1,0,10,0,0
19989,17590,16480,35401,24296,30991,24258,25488,7619,8469
98711,1514,1605,3883,4272,2751,2818,2650,718,646
29819,770,751,1586,1236,1665,1275,1343,422,478
66799,525,637,1749,1452,1584,1184,1771,449,375
67923,876,1449,4133,3742,3515,2454,4085,1289,847
329101,0,1,3,0,1,0,2,0,1
70397,376,680,1334,1199,1295,606,1097,416,296
17087,121,107,67,57,246,311,85,74,89
57339,201,70,407,339,159,293,334,23,62
14545,6,1,9,8,4,12,7,1,1
94227,34,36,2260,746,32,193,2014,79,49
83691,51,51,3951,2882,38,195,3463,17,43
78081,0,0,0,0,0,0,0,0,0
654454,1,0,0,0,0,0,0,0,0
654460,0,0,0,0,0,0,0,0,0
77673,0,0,0,0,0,0,0,0,0
654464,0,0,0,0,0,0,0,0,0
226896,0,0,0,0,1,0,0,0,0
21419,2049,3096,4580,4724,6743,2853,3424,2921,1635
241035,2,5,1,0,49,8,1,8,6
75028,0,0,0,0,0,0,0,0,0
387202,0,0,0,0,0,0,0,0,0
723817,0,0,0,0,0,0,0,0,0
16171,0,0,0,0,0,0,0,0,0
257630,0,3,1,2,2,0,1,0,0
17215,543,993,5818,5171,2282,954,2878,350,244
77741,1,1,0,1,0,0,0,2,0
74229,42,109,337,305,205,62,412,93,33
71877,41,74,206,241,166,97,236,53,41
170829,228,141,343,382,326,304,332,70,146
75712,40,91,168,191,194,70,151,47,25
14859,11,8,9,7,14,11,8,8,6
241041,0,0,0,1,0,0,0,0,0
368204,0,0,0,2,0,0,2,0,0
433278,0,0,0,2,1,0,1,0,0
98582,0,0,3,8,0,0,9,0,0
226922,3,3,2434,2530,14,32,2680,7,5
116837,1,0,28,17,0,1,17,0,2
66755,2,1,0,0,1,1,0,0,0
387225,0,0,0,0,0,0,0,0,0
723964,1,2,2,1,0,4,1,1,2
70155,5413,1212,1081,907,4696,9303,770,610,3743
100503399,10,0,0,0,5,11,0,0,3
280645,131,110,181,82,162,224,276,103,99
98366,604,839,2184,2182,2202,1500,2226,641,496
68002,64,275,322,303,516,144,186,177,77
68187,898,1106,2803,1809,2213,1974,3089,891,686
12839,4396,1043,4140,2407,4711,8704,3449,405,2175
12823,11,3,5,6,4,19,8,2,6
68421,2921,2754,2736,3238,6770,6069,3013,1762,1705
210933,2,0,0,1,1,3,0,0,0
100504323,0,0,0,0,0,0,0,0,0
210940,0,0,1,1,0,0,1,1,0
433281,0,0,0,0,0,0,0,0,0
665903,85,133,580,364,234,144,299,67,51
210962,0,0,0,0,0,0,0,0,0
623924,0,0,0,0,0,0,0,0,0
791350,0,0,0,0,0,0,0,0,0
213109,5244,5390,7186,5872,12670,9954,7246,4079,3568
19243,2634,1875,4415,3846,4832,6257,4491,1375,1384
70988,0,0,0,0,0,0,0,0,0
266744,0,0,0,0,0,0,0,0,0
74708,0,0,0,0,0,0,0,0,0
226957,1,0,0,1,2,1,1,0,0
624262,7,6,20,26,21,15,14,3,6
170771,0,1,63,20,0,0,30,0,0
408192,1,0,0,0,0,0,2,0,0
408191,0,0,0,0,0,0,5,0,0
19076,425,527,1871,1608,1103,632,1158,275,248
67503,11,12,27,8,11,10,13,4,2
19335,195,396,873,884,959,512,744,215,149
213539,452,727,2229,2342,1899,1310,2439,421,418
98403,965,733,1479,1102,1914,2268,2052,487,628
433287,210,343,658,528,673,430,579,203,134
320705,5,6,7,11,21,21,15,4,6
13518,12154,36805,75673,98971,74010,40515,127384,23313,10089
100628580,0,1,3,7,2,1,0,0,0
69668,269,267,486,467,787,700,469,184,189
27993,1205,1389,2630,2019,3183,2214,2052,738,701
52318,536,569,855,731,1560,1160,932,373,332
19253,2609,1436,100,88,3325,4426,96,794,1488
21755,19,3,0,0,11,52,0,0,4
12627,0,0,0,0,0,0,0,0,0
21756,0,0,1,2,0,0,3,0,0
211383,0,0,0,0,0,0,0,0,0
241051,0,0,0,2,0,0,1,0,0
226970,143,99,1050,827,260,247,1075,71,87
214469,7146,7138,17154,16917,18231,13286,14957,4825,3979
226971,1401,5449,1849,1723,9536,3077,2228,2852,1156
50785,6546,3199,11884,10735,12760,13225,11066,1542,2834
320011,3904,7683,10767,10098,15468,7708,8959,4094,2631
214854,18,24,96,76,80,50,163,35,21
214855,4169,7822,22584,27869,16088,10102,20614,5588,2487
226976,3566,3687,5341,4537,8724,7618,6168,2257,2123
214895,940,1836,1088,994,3411,1518,916,1101,548
94220,1503,1364,3871,3959,2932,2881,2684,561,688
94218,720,869,691,722,1697,864,487,538,419
78321,153,380,266,219,575,300,319,251,141
109346,162,356,322,253,559,243,261,273,134
20353,5911,15144,11940,6902,30968,11839,10124,9508,2987
381337,51,87,115,57,191,58,69,78,25
12859,248,554,763,701,1067,607,573,326,204
226977,2775,3663,7464,6123,7633,4973,6961,2203,1553
71166,4,2,17,10,8,6,25,3,1
22637,2,2,23,15,7,7,47,0,2
56030,3505,4067,9045,8572,9826,5988,8408,2648,2181
70853,2,8,12,11,8,5,12,7,0
12790,1,3,38,34,4,3,66,1,0
269180,845,716,2493,1924,1527,1615,2777,407,443
76178,2761,3893,2935,3096,8012,4584,2252,2346,1618
67387,602,1113,1165,978,2279,1469,1063,649,414
269181,5350,1521,2438,2554,6227,14105,2530,581,2331
77633,177,194,509,359,506,439,423,89,109
100861893,0,0,0,0,0,0,0,0,0
72097,2008,1150,66,60,2862,2492,52,693,1015
100503734,3,1,0,0,0,3,0,0,0
211484,91,100,80,51,195,155,79,75,59
623661,69,86,91,56,141,91,90,58,59
69028,135,243,522,410,402,239,491,252,144
107734,520,834,1573,1394,1797,827,1217,573,358
332427,0,0,0,0,0,0,1,0,0
69541,1,0,3,1,0,0,2,0,0
98258,1803,1727,2395,2068,4950,4132,2473,1189,1311
226982,6527,4386,10599,7137,14734,14506,12183,3564,4416
56210,688,574,1426,975,1519,1628,1689,502,410
16764,18,31,669,773,22,101,718,15,26
381338,0,1,4,6,0,4,2,1,0
98388,44,23,79,81,44,37,39,10,16
100503760,0,0,1,0,0,0,1,0,0
433292,0,0,0,0,0,0,0,0,0
68833,1416,2417,4162,3373,4454,2605,3789,1539,1267
18143,658,333,35,42,934,1288,41,184,436
114641,351,472,810,498,835,601,533,168,157
54610,2158,2471,1056,1023,5445,5047,981,1460,1322
52846,483,634,2420,2221,1755,1295,2421,400,311
100217461,36,15,91,52,19,57,95,8,6
67702,3246,2234,11473,7530,6493,8532,11746,1320,1765
263764,2,0,113,91,1,6,145,0,0
619289,2,2,3,3,4,1,7,0,3
100042065,0,0,2,0,0,0,1,1,0
73426,1,1,0,0,0,0,0,0,0
26921,8639,5904,20216,14858,16180,13034,16675,3914,4621
100047133,0,0,2,5,1,0,2,1,0
16178,14,37,21,37,26,132,49,25,24
16177,1180,1922,538,580,3381,2004,854,1263,895
107527,214,251,853,689,531,420,724,180,155
17082,19,18,99,100,31,79,236,20,16
16182,575,1439,107,115,2893,1389,204,1223,570
16174,97,123,12,11,79,104,23,19,16
110895,74,17,7,8,52,141,20,1,25
226999,183,54,51,53,175,296,38,25,83
211798,113,118,110,116,247,148,71,49,68
381339,1,1,39,10,4,0,22,5,1
74897,0,0,0,0,0,0,0,0,0
66297,0,0,0,0,0,0,0,0,0
18993,0,0,1,3,3,1,1,0,0
73100,0,0,0,0,0,1,0,0,0
69527,856,1138,1695,1340,2141,1275,1142,791,578
93690,0,1,3,5,1,0,1,1,0
73122,1029,1201,1480,1850,3097,2369,1373,836,601
98404,315,645,914,1137,1325,588,691,461,232
14200,1016,1519,5131,3973,1630,1605,7806,583,912
666642,411,623,1238,883,1445,859,946,321,236
17974,3434,15170,4989,4541,22253,6804,4039,9051,2938
100861934,12,15,6,6,30,38,7,23,12
78896,89,60,8603,8794,140,192,7439,22,51
67883,285,758,658,413,1396,510,374,409,206
100503192,1345,1661,2018,1507,2832,1884,1321,744,599
22019,3367,3219,7981,5349,8862,8863,9938,2625,2709
433294,1,1,4,3,0,9,5,1,2
75623,476,443,1168,1003,1170,1056,799,237,310
72050,268,433,3440,3102,1179,660,2899,386,238
246229,218,393,489,535,752,316,288,232,182
22592,674,666,1912,1887,1500,1192,1925,485,549
100861960,0,0,0,0,0,0,0,0,0
403183,0,0,0,2,0,0,0,0,0
70676,327,126,2283,1652,548,561,2325,69,213
75066,0,0,1,3,1,8,13,0,2
12825,2776,10200,10360,14370,4288,32520,17412,1453,5010
12832,293,822,15313,15611,412,3121,14692,194,514
73674,960,1216,3325,2593,3065,2400,4184,865,684
433297,977,1197,4455,5118,2953,1890,4256,814,750
53945,146,316,118,186,673,241,154,197,95
100042453,1,2,1,1,2,1,0,3,0
212225,0,1,0,0,1,0,0,0,0
227058,11,82,430,291,116,36,638,45,20
100101919,2,3,46,40,13,2,53,5,2
227059,425,1028,9105,6660,2555,1455,9091,856,425
442837,0,0,0,0,0,0,0,0,0
56363,27,48,274,229,16,143,239,6,36
442821,0,0,4,3,2,0,4,0,0
20324,472,542,10920,9440,1571,662,7997,799,866
109019,11802,11139,4769,4644,11034,13983,3996,5707,5787
100045066,29,34,1,1,22,25,1,16,17
17912,2134,4746,4660,3336,8600,4611,4415,3273,1900
20849,8,40,16,14,107,21,25,31,16
100042634,11,11,27,35,52,41,33,5,6
20846,1229,2324,1905,1491,4460,2305,2013,1391,867
14660,6317,5127,19466,14218,13219,15170,18861,4026,4220
17936,7760,4422,6029,3783,13695,14812,5436,2942,4152
227094,234,395,360,304,550,271,246,300,173
98682,5772,3361,2669,2939,9736,10408,2577,2011,3026
16329,545,401,961,849,814,828,704,226,395
227095,468,692,1436,962,1346,802,991,507,349
67080,18,6,519,333,17,23,466,6,10
17700,0,1,1,0,2,0,0,0,0
69397,0,0,0,3,2,2,1,0,1
227099,167,236,358,210,410,241,231,176,123
227102,287,728,387,368,1388,408,168,439,215
72085,92,177,434,296,349,167,331,146,81
70396,979,1153,1656,1029,2065,1400,898,701,589
627872,2,10,25,17,4,4,32,2,0
98267,565,888,1877,1560,1306,899,1564,494,358
329152,28,11,163,120,36,93,236,21,27
78016,5,9,16,8,11,16,15,0,4
98488,374,659,928,740,1202,624,670,468,298
241062,563,1050,1091,853,1838,1148,1056,793,488
329154,376,744,2472,2689,1315,907,3291,521,292
81898,27696,21903,44667,34900,53365,60666,47974,18185,19886
67876,8140,5100,11681,10846,16283,19628,11013,3189,5501
15510,3486,3847,11993,9926,10349,7248,9684,3370,2912
15528,902,1500,4602,2687,2273,1257,2274,980,713
19070,1588,2391,3333,2326,5019,3405,3352,1639,1223
74013,1076,353,564,588,1214,1206,461,160,540
212679,386,285,704,438,647,562,869,124,226
75388,5,0,1,0,9,3,2,0,2
227120,467,57,3914,2531,256,990,3678,49,180
626009,60,201,635,377,275,115,299,81,38
329159,0,0,0,0,0,0,1,0,0
71066,0,0,0,0,0,0,0,0,0
212712,46,14,35,36,38,43,26,12,19
329160,8,3,9,8,6,2,5,4,5
407809,0,0,0,0,0,0,0,0,0
75323,4,4,41,23,8,4,35,2,1
73467,82,43,282,186,117,134,244,26,32
68736,250,300,473,292,502,455,476,267,189
68115,532,655,1002,778,1356,1058,829,383,378
67198,198,701,2381,2898,1400,358,2435,429,205
51960,206,381,371,452,684,324,413,301,172
68549,71,53,577,329,96,83,282,47,59
11761,100,683,802,727,870,289,931,475,186
71724,8,16,16,17,35,73,27,5,18
71872,8,8,5,3,20,31,12,2,3
213043,27,36,3,4,59,92,4,10,8
66882,8010,8983,19951,14591,23534,20494,19906,5491,5557
12747,11255,8942,15682,9037,12854,13233,13029,10000,8146
70225,299,417,876,705,790,477,520,209,174
65102,253,446,709,728,1078,593,592,304,165
18393,503,716,1823,1746,1735,1053,1706,544,339
100504455,13,10,5,4,12,13,11,5,4
213056,971,849,634,382,1435,1585,753,622,646
66495,559,1304,1714,957,1752,890,796,598,368
100504501,38,29,96,72,111,90,90,36,39
108812,3,3,3,1,3,0,4,1,0
12633,2147,2548,4640,4230,6025,4362,6895,1986,1591
12370,648,1549,1498,1086,3049,1365,1440,1006,596
70827,2656,2679,8898,7925,7694,6517,9953,1680,1677
227154,93,191,499,355,321,168,398,109,68
73463,0,1,0,3,2,0,2,0,0
381259,179,238,1244,1180,639,339,981,151,118
227157,6,6,40,53,23,20,51,4,6
74018,1099,1235,3829,3163,3046,2447,4278,727,681
271697,0,2,39,71,0,2,44,0,0
14369,1509,1239,12705,17406,2024,1864,7968,575,661
381260,27,33,21,21,74,57,24,22,19
22218,1296,1407,2243,1826,3409,2371,2098,1032,822
55989,4442,4687,30546,20775,14008,10574,32831,5887,4300
100217459,7,8,12,7,9,5,23,13,8
100217421,2,2,7,4,2,4,4,0,2
12168,2101,2314,5035,4281,5175,4046,8001,1556,1212
100504533,74,144,359,302,310,238,516,120,66
72750,1239,847,2968,2954,2965,2932,3160,575,914
70375,16,11,81,103,29,51,86,10,14
57750,277,302,1133,811,751,522,777,180,181
241066,128,111,235,165,214,200,249,102,90
100504573,27,59,61,80,107,69,67,10,9
269198,1836,2606,3252,2814,4374,3997,4958,2280,1493
77951,686,737,735,769,1829,1168,593,452,397
329165,661,849,3412,2955,2169,1558,2915,574,438
77300,2828,1315,3267,3322,4625,6229,4654,663,1642
100043027,8,28,20,9,21,10,7,6,8
100042533,8,4,10,10,26,17,8,1,6
12487,1,3,4,3,5,0,7,5,1
100504618,0,0,0,0,0,0,0,0,0
12477,0,5,7,9,2,0,6,1,1
54167,1,0,2,1,3,0,6,1,1
77341,0,0,0,0,0,0,0,0,0
72823,723,329,1064,1263,1141,1027,1266,165,337
18187,94,69,2459,1433,346,271,1990,224,96
74992,1,0,16,12,4,2,23,1,2
227195,5442,3698,4932,4695,9339,10278,6978,2621,3070
100380944,61,60,87,76,86,99,106,40,34
100504668,21,10,16,26,30,46,23,10,7
227197,1260,2576,5116,3945,5201,2788,3953,1583,956
55949,24486,27636,42750,34218,62102,43188,33973,14682,14747
100217464,47,38,112,65,66,86,75,27,50
241070,15,9,4,12,6,15,22,6,6
73884,90,108,597,517,599,508,943,62,50
23792,18,41,199,128,30,234,185,11,45
241073,0,0,0,0,2,0,0,0,0
76668,0,3,2,9,1,0,5,1,0
75619,752,886,1674,1476,1962,1525,1264,572,496
74426,5,4,10,10,15,13,11,4,2
433315,4,0,0,1,2,2,4,1,1
93691,1645,398,618,671,868,1257,694,269,1132
12912,2328,2453,3905,2641,4511,3810,3572,1811,1324
67099,108,342,488,520,521,190,331,232,108
69941,27,28,117,92,73,72,60,20,18
227210,418,345,2083,2475,1324,1387,2132,287,241
14367,2858,1427,4702,5957,3872,4606,2989,929,1209
241075,363,560,1541,1909,1380,676,1608,435,275
70861,0,0,0,1,0,4,0,0,0
667276,29,29,61,54,51,44,57,17,25
12968,0,0,0,0,0,0,0,0,0
12967,0,0,0,0,0,0,0,0,0
12966,0,0,0,0,0,0,0,0,0
12965,0,0,0,0,0,0,0,0,0
12964,0,0,0,0,0,0,1,0,0
98303,3,0,20,15,1,1,26,0,1
15926,963,1025,2602,2263,2502,2491,2236,539,618
18711,1077,1295,2002,1614,2717,2461,2758,1022,763
213527,0,1,4,3,2,1,1,0,0
12969,0,0,0,0,0,0,0,0,0
17756,7245,2034,10065,8958,6692,11583,11263,1020,4451
100038569,3,0,2,2,4,3,3,0,0
329178,700,123,226,174,268,909,286,30,145
66646,1135,1413,2030,1391,2677,1843,1359,1039,729
68691,1429,651,5148,3918,2128,3746,6315,456,811
11363,4392,3838,12417,7930,8618,8303,8048,1869,2219
100862127,31,6,12,3,13,28,24,7,15
17901,0,2,10,5,25,1,1,9,0
14768,900,1492,4103,2981,2974,1580,2942,921,585
227231,0,0,1,0,3,1,0,0,0
13869,630,213,15,17,723,743,33,105,271
100502712,0,0,0,0,0,0,0,0,0
22779,482,267,1010,861,626,591,1423,227,404
66722,0,0,0,1,0,0,2,0,0
320460,0,0,0,0,0,0,0,0,0
12021,45,64,680,552,117,92,513,31,35
74591,5,3,184,206,9,7,195,97,5
108147,1843,2470,5869,5294,5195,2715,3541,1415,1010
14268,3307,4295,7487,7688,1995,14451,9806,830,2621
100042814,0,0,1,1,0,0,0,0,0
667931,3,1,0,2,0,0,0,0,0
71134,0,2,0,1,0,0,0,0,0
433319,10,10,26,7,9,7,7,2,0
381269,54,27,2101,1402,100,181,1388,71,14
111175,202,251,691,537,593,375,484,121,125
271711,0,0,42,30,2,2,23,1,0
22596,407,823,3835,3621,2125,990,3192,598,361
381270,1,0,46,42,1,3,29,0,0
54380,757,808,2083,2048,1648,1062,1610,585,514
319695,0,0,1,1,0,0,2,0,1
19981,441,521,925,594,778,609,588,217,227
16008,49,45,26083,21655,119,505,18997,24,69
16011,356596,72314,261496,318361,302090,483803,348103,31343,168175
21958,0,0,1,0,0,0,0,0,0
69449,0,0,0,0,0,0,1,0,1
723792,1481,116,238,149,486,2209,249,46,614
78718,98,9,9,15,52,159,18,2,49
109198,0,0,26,10,0,1,28,0,0
21961,570,287,9509,15233,1088,1227,11320,375,315
435626,16,9,263,242,50,44,713,9,16
100862357,0,0,0,0,0,0,0,0,0
12765,3,4,9,10,2,1,7,0,0
227288,0,0,0,0,0,0,0,0,0
100316687,0,0,0,0,0,0,0,0,0
76709,4978,6817,12435,11568,16634,11393,11242,4397,3707
227289,4,1,5,4,3,7,8,0,0
227290,5096,6560,10794,8273,13595,8997,9237,3431,2876
56695,285,366,1197,984,823,578,1028,224,141
69660,7521,5617,5858,4933,14632,14064,9552,3159,4471
241112,1,1,18,18,2,8,15,1,1
18173,6,3,27,39,20,10,52,13,7
227292,1727,1862,3257,3510,4315,3035,2665,1187,1132
387219,0,1,0,2,5,0,3,2,0
22349,12,9,35,63,19,16,61,5,3
319651,1540,2295,5038,3482,6101,4342,6515,2034,1373
58184,777,1281,2917,2516,3076,1766,1863,738,505
18802,10,14,215,311,85,67,171,10,12
77264,1075,1013,4501,4176,3201,2812,4558,686,735
66821,479,534,776,731,1084,652,493,279,251
57751,649,1066,1500,1345,2391,1579,2007,763,536
269209,163,389,341,295,795,279,408,234,129
67534,1273,1416,1983,1566,3232,2564,3058,1105,1018
104086,19,42,286,284,54,51,371,35,25
241113,1,0,153,43,1,7,70,0,0
22420,33,12,4942,3058,27,69,1810,10,24
22409,3,10,6291,4704,27,22,5981,25,6
12570,0,0,16,7,2,2,14,0,0
260298,0,0,0,0,0,0,0,0,0
12958,1,0,0,0,0,0,0,0,0
723900,0,0,0,0,0,0,0,0,0
241116,2,1,0,1,1,1,1,0,2
16147,11,10,7,12,20,4,12,2,3
75570,77,78,198,159,200,170,164,57,52
22626,43,58,68,129,144,104,111,32,23
69171,1802,1871,1415,1535,3611,2798,1090,1057,972
227298,2959,3917,2717,2413,7192,4091,1723,2259,1548
68818,658,977,698,571,1737,1074,466,504,399
74104,417,694,1001,975,1182,684,537,325,216
245860,2207,1783,2246,2451,4219,3587,2061,874,842
52231,718,725,501,448,1204,925,453,513,444
74577,174,368,589,588,642,340,660,236,132
20872,869,1538,2227,1846,3357,1768,1946,1106,619
22145,7894,11155,15675,15669,29808,27728,14672,5661,4874
381272,7,6,9,6,16,12,7,1,8
56812,2966,3496,3411,2518,6919,5731,3572,1980,1466
19275,84,73,114,74,171,249,128,35,103
19711,0,0,0,0,2,0,0,0,0
13437,1198,4312,1870,1801,6762,2445,1422,2118,926
13346,4,51,233,320,133,22,231,82,16
100503248,0,0,0,0,1,0,7,0,0
11790,53,520,2947,3020,803,214,2789,374,114
69080,828,1510,1608,1621,3066,1755,1476,877,669
100862164,0,0,0,1,0,0,0,0,1
241118,3,3,69,90,26,14,69,3,0
74241,1333,1504,5606,4769,4183,3167,5906,694,663
319998,94,82,447,479,182,186,761,48,46
98733,470,623,4433,3671,1279,765,3757,311,263
16322,31,199,200,131,298,104,185,195,51
71728,1039,1830,1340,1010,2793,1547,972,1019,663
20536,570,941,1886,1750,1304,772,1877,620,348
100862333,0,0,0,0,0,0,0,0,1
620079,0,0,0,0,0,0,0,0,0
13838,712,277,6428,6495,745,945,5079,246,472
18505,0,0,0,2,0,0,0,0,0
100039210,0,0,0,0,0,0,0,0,0
433323,8,13,20,26,19,17,16,9,6
23874,1117,2153,3410,3076,4263,2235,2368,1379,877
68393,21,3,9,12,6,40,10,3,8
74205,3831,3925,7297,5079,8585,10359,8023,2485,3767
195434,928,854,2521,2534,1817,2557,2458,323,540
57814,5,10,94,144,47,76,194,91,45
20254,0,1,0,0,1,0,0,0,0
100862182,1,0,4,2,9,7,5,1,2
252903,339,252,433,292,631,792,385,171,185
69368,1863,2940,1721,1404,5317,3609,1847,1930,1295
100038695,4,0,0,0,1,1,0,0,0
69163,385,482,764,589,1132,800,645,329,251
100862198,0,0,0,0,0,0,0,0,0
20720,44,58,790,924,144,192,755,47,47
241128,1,1,0,3,0,1,1,0,0
26554,5369,5308,12160,7803,14493,11864,12522,4300,3780
72208,0,0,0,0,0,0,0,0,0
210293,10,17,674,342,22,72,650,19,13
241134,0,0,0,0,0,0,0,0,0
16367,4996,2225,1850,2663,3182,3158,1107,1297,2592
100503073,70,23,6,6,30,46,8,17,32
76867,1265,3643,2592,3075,6535,2428,2328,2208,889
100503095,15,15,3,0,15,15,9,6,4
12829,15,20,106,172,34,48,151,6,20
12828,7,12,148,151,23,46,226,9,9
75734,1068,1470,2757,2677,3538,2520,2567,1053,741
66261,1,2,2,1,1,3,3,0,1
100044526,40,68,99,42,102,56,57,26,31
15463,4032,2893,5746,4125,8439,8815,6762,1672,2574
80721,28,9,53,93,30,33,65,2,23
71386,2,0,0,0,1,1,0,0,0
20297,339,80,7,8,102,66,4,9,11
71227,0,0,2,0,1,1,2,1,0
77629,0,0,0,1,1,2,0,1,0
98496,9,11,109,115,11,40,77,7,12
227325,0,0,1,1,2,0,3,0,2
100628595,0,0,0,0,0,0,0,0,0
14897,8744,11186,19025,16645,25635,18450,20999,7387,5953
66153,44,120,68,23,218,92,41,82,35
71781,0,0,3,4,2,1,6,0,0
100503433,0,0,1,0,0,1,1,0,0
381287,0,1,0,1,1,0,0,0,0
621875,7,3,15,16,33,28,25,7,16
100040135,0,0,0,0,0,0,0,0,0
665378,0,0,0,0,1,2,0,0,1
620078,9,6,8,5,6,10,8,2,3
100040213,3,3,1,0,14,9,0,2,1
100039794,5,3,7,3,6,5,3,0,3
665338,1,0,0,0,7,1,0,0,1
109032,99,91,128,115,216,238,186,80,73
434484,423,259,552,505,588,527,487,164,254
100503502,1,0,0,2,0,1,1,0,0
100503045,0,1,1,0,0,0,0,1,0
20684,70,145,182,222,356,305,258,118,107
319997,7,7,18,19,42,41,22,8,14
12283,6049,5664,8530,5935,14088,13007,9646,4379,4125
64294,4095,8090,21699,19457,14599,6886,17437,4541,2281
71141,0,1,0,10,0,1,11,0,0
227326,4,4,8,24,2,2,16,1,0
70060,0,0,8,10,2,0,13,0,0
72792,67,9,385,427,22,31,201,3,34
70247,3958,5610,11241,10043,14691,9867,9954,3167,2677
15559,14,5,31,23,26,51,60,10,16
78795,230,336,896,1020,754,445,861,212,149
100861644,0,1,3,3,5,0,2,2,0
227327,61,762,82,78,2408,308,154,571,119
383538,1,0,2,0,0,1,0,0,0
17975,41435,28429,100010,70934,82601,73000,84667,18877,20980
100303740,44,22,103,32,22,71,95,10,32
80828,3,1,2,1,0,1,3,0,0
319336,24,20,59,43,45,36,35,11,11
14767,0,2,0,1,0,1,0,1,1
71863,0,1,0,0,2,0,0,0,0
19231,5400,9190,18565,17077,21838,12890,15560,7152,5503
18582,139,421,812,709,547,200,407,203,87
26895,230,343,752,620,659,428,496,187,149
18159,5,43,182,172,32,13,101,4,4
208718,857,1020,1014,706,2317,1605,995,658,578
11650,0,0,2,1,0,2,0,0,0
76768,2,0,1,1,0,2,4,0,0
11648,0,0,2,4,0,1,3,0,0
13599,1,1,100,66,3,4,137,0,1
69453,2,6,14,3,3,2,12,0,1
11447,0,0,0,0,0,1,0,0,0
11449,0,0,0,0,0,0,0,0,0
26987,1785,2075,4535,3842,5495,3589,4458,1294,1092
98363,181,108,323,263,145,395,338,34,74
227331,2467,3277,2817,2298,5909,3895,2770,2502,1804
100040591,15,14,62,94,26,42,69,21,16
73234,77,146,14,6,310,57,10,77,33
53972,896,1251,112,91,2540,1322,84,747,568
319977,8,19,2,1,17,7,1,17,8
620454,44,38,134,23,55,31,64,11,9
23956,45,46,8,7,137,57,11,51,42
16331,8,4,55,29,35,26,51,15,16
77040,946,1390,1893,1448,2703,1836,2482,1165,685
100217415,11,3,7,7,8,19,14,6,5
20215,10,17,28,28,35,27,27,20,11
100503175,4,2,1,3,3,6,2,2,2
227333,4898,3509,3875,3442,8538,7753,4310,2273,2579
227334,428,394,1208,1111,925,831,1209,260,292
394430,0,0,0,0,0,0,0,0,0
394434,0,0,0,0,0,0,0,0,0
394432,0,0,2,0,1,2,0,3,1
394435,5,5,1153,809,9,55,1039,4,3
94284,9,12,2083,1607,16,111,2193,15,20
394433,0,0,3,1,0,0,2,0,0
22236,0,0,2,1,0,0,0,0,0
15504,5,12,19,27,25,2,31,8,2
394436,0,0,3,5,0,1,5,11,2
100040766,1,3,21,22,6,2,66,0,0
381280,282,315,765,513,565,354,540,196,178
