,rownames,ENTREZID,SYMBOL,TXCHROM
665556,7966,665556,NA,NA
170762,7967,170762,Nup155,chr15
73692,7968,73692,Cplane1,chr15
71175,7969,71175,Nipbl,chr15
20512,7970,20512,Slc1a3,chr15
223332,7971,223332,Ranbp3l,chr15
68646,7972,68646,Nadk2,chr15
27401,7973,27401,Skp2,chr15
320506,7974,320506,Lmbrd2,chr15
100505224,7975,100505224,NA,NA
105887,7976,105887,Ugt3a1,chr15
223337,7977,223337,Ugt3a2,chr15
75568,7978,75568,Capsl,chr15
16197,7979,16197,Il7r,chr15
320277,7980,320277,Spef2,chr15
19116,7981,19116,Prlr,chr15
268782,7982,268782,Agxt2,chr15
78244,7983,78244,Dnajc21,chr15
67832,7984,67832,Brix1,chr15
19355,7985,19355,Rad1,chr15
100862295,7986,100862295,NA,NA
75777,7987,75777,Ttc23l,chr15
75646,7988,75646,Rai14,chr15
100038608,7989,100038608,Gm10389,chr15
75259,7990,75259,4930556M19Rik,chr15
100502601,7991,100502601,Gm19276,chr15
81799,7992,81799,C1qtnf3,chr15
17117,7993,17117,Amacr,chr15
22293,7994,22293,Slc45a2,chr15
239336,7995,239336,Rxfp3,chr15
239337,7996,239337,Adamts12,chr15
110960,7997,110960,Tars,chr15
18162,7998,18162,Npr3,chr15
381002,7999,381002,Gm5144,chr15
73339,8000,73339,1700047G03Rik,chr15
20024,8001,20024,Sub1,chr15
22763,8002,22763,Zfr,chr15
100316684,8003,100316684,Mir1898,chr15
100040052,8004,100040052,Gm2573,NA
268783,8005,268783,Mtmr12,chr15
66629,8006,66629,Golph3,chr15
68070,8007,68070,Pdzd2,chr15
100862396,8008,100862396,NA,NA
669751,8009,669751,Gm17756,NA
77877,8010,77877,6030458C11Rik,chr15
14000,8011,14000,Drosha,chr15
12563,8012,12563,Cdh6,chr15
12565,8013,12565,Cdh9,chr15
70886,8014,70886,4921515E04Rik,chr15
320873,8015,320873,Cdh10,chr15
64833,8016,64833,Acot10,chr15
215654,8017,215654,Cdh12,chr15
545091,8018,545091,Hnrnpa1l2-ps2,chr15
320865,8019,320865,Cdh18,chr15
100040529,8020,100040529,Gm2824,NA
223413,8021,223413,9230109A22Rik,NA
100862086,8022,100862086,NA,NA
70350,8023,70350,Basp1,chr15
432939,8024,432939,Gm48957,chr15
17909,8025,17909,Myo10,chr15
66270,8026,66270,Retreg1,chr15
52521,8027,52521,Zfp622,chr15
211147,8028,211147,Marchf11,chr15
448987,8029,448987,Fbxl7,chr15
622531,8030,622531,NA,NA
100038662,8031,100038662,D130046C19Rik,NA
11732,8032,11732,Ank,chr15
223431,8033,223431,Tiaf2,NA
791293,8034,791293,Gm9948,NA
432940,8035,432940,Otulin,chr15
223433,8036,223433,Otulinl,chr15
223435,8037,223435,Trio,chr15
328516,8038,328516,Gm20555,NA
110082,8039,110082,Dnah5,chr15
100628607,8040,100628607,Mir3964,chr15
18163,8041,18163,Ctnnd2,chr15
73784,8042,73784,4930430F21Rik,chr15
223453,8043,223453,Dap,chr15
67434,8044,67434,Ankrd33b,chr15
252967,8045,252967,Ropn1l,chr15
223455,8046,223455,Marchf6,chr15
69574,8047,69574,Cmbl,chr15
12465,8048,12465,Cct5,chr15
68073,8049,68073,Atpsckmt,chr15
57254,8050,57254,Tas2r119,chr15
100616095,8051,100616095,Snhg18,chr15
66835,8052,66835,Snord123,chr15
20356,8053,20356,Sema5a,chr15
15529,8054,15529,Sdc2,chr15
54381,8055,54381,Cpq,chr15
73486,8056,73486,1700084J12Rik,chr15
75880,8057,75880,4930592A05Rik,chr15
239364,8058,239364,Tspyl5,chr15
67154,8059,67154,Mtdh,chr15
100503407,8060,100503407,NA,NA
114128,8061,114128,Laptm4b,chr15
17181,8062,17181,Matn2,chr15
77358,8063,77358,9430069I07Rik,chr15
19946,8064,19946,Rpl30,chr15
239368,8065,239368,Erich5,chr15
15473,8066,15473,Rida,chr15
67724,8067,67724,Pop1,chr15
223473,8068,223473,Nipal2,chr15
71637,8069,71637,4930413F20Rik,chr15
16539,8070,16539,Kcns2,chr15
56274,8071,56274,Stk3,chr15
107587,8072,107587,Osr2,chr15
100126269,8073,100126269,BC048602,chr15
666173,8074,666173,Vps13b,chr15
100316736,8075,100316736,Mir599,chr15
100124469,8076,100124469,Mir875,chr15
12864,8077,12864,Cox6c,chr15
626596,8078,626596,Rgs22,chr15
78803,8079,78803,Fbxo43,chr15
17749,8080,17749,Polr2k,chr15
26942,8081,26942,Spag1,chr15
30945,8082,30945,Rnf19a,chr15
68839,8083,68839,Ankrd46,chr15
66696,8084,66696,Snx31,chr15
18458,8085,18458,Pabpc1,chr15
22631,8086,22631,Ywhaz,chr15
100505062,8087,100505062,NA,NA
100038735,8088,100038735,Gm10384,NA
100862212,8089,100862212,NA,NA
68036,8090,68036,Zfp706,chr15
100503499,8091,100503499,NA,NA
252973,8092,252973,Grhl2,chr15
52589,8093,52589,Ncald,chr15
100503538,8094,100503538,Gm15941,chr15
74892,8095,74892,4930447A16Rik,chr15
382985,8096,382985,Rrm2b,chr15
100041478,8097,100041478,NA,NA
70790,8098,70790,Ubr5,chr15
100503601,8099,100503601,NA,NA
18285,8100,18285,Odf1,chr15
21847,8101,21847,Klf10,chr15
54375,8102,54375,Azin1,chr15
69679,8103,69679,2310043O21Rik,chr15
66335,8104,66335,Atp6v1c1,chr15
118452,8105,118452,Baalc,chr15
14368,8106,14368,Fzd6,chr15
68588,8107,68588,Cthrc1,chr15
69906,8108,69906,Slc25a32,chr15
223499,8109,223499,Dcaf13,chr15
116838,8110,116838,Rims2,chr15
75766,8111,75766,Dcstamp,chr15
64705,8112,64705,Dpys,chr15
100503072,8113,100503072,Gm16291,chr15
239393,8114,239393,Lrp12,chr15
105976,8115,105976,AU022793,chr15
328531,8116,328531,9330182O14Rik,chr15
432945,8117,432945,Gm16294,chr15
22762,8118,22762,Zfpm2,chr15
170719,8119,170719,Oxr1,chr15
100503540,8120,100503540,Gm19760,NA
223513,8121,223513,Abra,chr15
11600,8122,11600,Angpt1,chr15
100503767,8123,100503767,Gm17473,NA
239405,8124,239405,Rspo2,chr15
16341,8125,16341,Eif3e,chr15
100038728,8126,100038728,Gm10373,chr15
66736,8127,66736,Emc2,chr15
239408,8128,239408,Tmem74,chr15
22045,8129,22045,Trhr,chr15
67429,8130,67429,Nudcd1,chr15
223527,8131,223527,Eny2,chr15
192190,8132,192190,Pkhd1l1,chr15
55960,8133,55960,Ebag9,chr15
319613,8134,319613,Sybu,chr15
69659,8135,69659,2310069G16Rik,chr15
239410,8136,239410,A930017M01Rik,chr15
432950,8137,432950,Gm5471,NA
67498,8138,67498,Kcnv1,chr15
71120,8139,71120,1700022A22Rik,chr15
74726,8140,74726,4930523O13Rik,chr15
75281,8141,75281,4930548G14Rik,chr15
239420,8142,239420,Csmd3,chr15
83925,8143,83925,Trps1,chr15
100316685,8144,100316685,Mir1907,chr15
100502643,8145,100502643,Gm19303,chr15
68135,8146,68135,Eif3h,chr15
78581,8147,78581,Utp23,chr15
19357,8148,19357,Rad21,chr15
239435,8149,239435,Aard,chr15
239436,8150,239436,Slc30a8,chr15
100039748,8151,100039748,Rpl15-ps6,NA
69790,8152,69790,Med30,chr15
14042,8153,14042,Ext1,chr15
100503094,8154,100503094,Gm19551,NA
320679,8155,320679,Samd12,chr15
100628567,8156,100628567,Mir28c,chr15
665097,8157,665097,Gm7489,NA
18383,8158,18383,Tnfrsf11b,chr15
383032,8159,383032,Gm5215,NA
239447,8160,239447,Colec10,chr15
105853,8161,105853,Mal2,chr15
18133,8162,18133,Ccn3,chr15
18606,8163,18606,Enpp2,chr15
100862169,8164,100862169,NA,NA
319944,8165,319944,Taf2,chr15
72107,8166,72107,Dscc1,chr15
100503794,8167,100503794,Gm9920,chr15
97998,8168,97998,Deptor,chr15
12818,8169,12818,Col14a1,chr15
73334,8170,73334,1700040F17Rik,NA
68537,8171,68537,Mrpl13,chr15
105837,8172,105837,Mtbp,chr15
20649,8173,20649,Sntb1,chr15
15117,8174,15117,Has2,chr15
594843,8175,594843,Has2os,chr15
210463,8176,210463,Slc22a22,chr15
387609,8177,387609,Zhx2,chr15
319829,8178,319829,9330154K18Rik,NA
67819,8179,67819,Derl1,chr15
100504341,8180,100504341,NA,NA
210544,8181,210544,Tbc1d31,chr15
239463,8182,239463,Fam83a,chr15
75758,8183,75758,9130401M01Rik,chr15
22770,8184,22770,Zhx1,chr15
70472,8185,70472,Atad2,chr15
76773,8186,76773,Ntaq1,chr15
67731,8187,67731,Fbxo32,chr15
268807,8188,268807,Klhl38,chr15
69787,8189,69787,Anxa13,chr15
210998,8190,210998,Fam91a1,chr15
631797,8191,631797,Fer1l6,chr15
74868,8192,74868,Tmem65,chr15
546638,8193,546638,Ube2d4,NA
68260,8194,68260,Trmt12,chr15
75841,8195,75841,Rnf139,chr15
69694,8196,69694,Tatdn1,chr15
100502741,8197,100502741,NA,NA
66218,8198,66218,Ndufb9,chr15
211401,8199,211401,Mtss1,chr15
100416830,8200,100416830,Zfp572,chr15
20775,8201,20775,Sqle,chr15
223593,8202,223593,Washc5,chr15
68501,8203,68501,Nsmce2,chr15
211770,8204,211770,Trib1,chr15
100503021,8205,100503021,Gm19510,chr15
71088,8206,71088,4933412E24Rik,chr15
399603,8207,399603,Lratd2,chr15
320469,8208,320469,9930014A18Rik,chr15
117586,8209,117586,A1bg,chr15
432956,8210,432956,D030024E09Rik,chr15
17869,8211,17869,Myc,chr15
19296,8212,19296,Pvt1,chr15
67552,8213,67552,Macroh2a3,chr15
432958,8214,432958,Gm20740,chr15
73994,8215,73994,4930449C09Rik,NA
83492,8216,83492,Gsdmc,chr15
78462,8217,78462,1700065I16Rik,chr15
331063,8218,331063,Gsdmc2,chr15
74236,8219,74236,Gsdmcl1,chr15
270328,8220,270328,Gsdmc3,chr15
665769,8221,665769,Gsdmcl2,chr15
74548,8222,74548,Gsdmc4,chr15
74460,8223,74460,Gsdmcl-ps,chr15
223601,8224,223601,Cyrib,chr15
100861767,8225,100861767,NA,NA
13196,8226,13196,Asap1,chr15
71603,8227,71603,9130004J05Rik,NA
11514,8228,11514,Adcy8,chr15
76740,8229,76740,Efr3a,chr15
18256,8230,18256,Oc90,chr15
654498,8231,654498,Hhla1,chr15
110862,8232,110862,Kcnq3,chr15
54562,8233,54562,Dnaaf11,chr15
213068,8234,213068,Tmem71,chr15
239510,8235,239510,Phf20l1,chr15
21819,8236,21819,Tg,chr15
20491,8237,20491,Sla,chr15
22402,8238,22402,Ccn4,chr15
17988,8239,17988,Ndrg1,chr15
100040667,8240,100040667,NA,NA
20442,8241,20442,St3gal1,chr15
69334,8242,69334,1700012I11Rik,chr15
380993,8243,380993,Zfat,chr15
387226,8244,387226,Mir30b,chr15
387228,8245,387228,Mir30d,chr15
13992,8246,13992,Khdrbs3,chr15
100504454,8247,100504454,4930573C08Rik,NA
100503580,8248,100503580,Gm19782,chr15
70363,8249,70363,Fam135b,chr15
69700,8250,69700,Col22a1,chr15
100503602,8251,100503602,NA,NA
223604,8252,223604,Kcnk9,chr15
76510,8253,76510,Trappc9,chr15
353342,8254,353342,Peg13,chr15
100041120,8255,100041120,Gm3150,NA
93696,8256,93696,Chrac1,chr15
239528,8257,239528,Ago2,chr15
100861801,8258,100861801,NA,NA
14083,8259,14083,Ptk2,chr15
387169,8260,387169,Mir151,chr15
100040929,8261,100040929,Gm10362,NA
105841,8262,105841,Dennd3,chr15
106068,8263,106068,Slc45a4,chr15
100503661,8264,100503661,1700010B13Rik,NA
239530,8265,239530,Gpr20,chr15
19245,8266,19245,Ptp4a3,chr15
268816,8267,268816,Mroh5,chr15
100041273,8268,100041273,Ndufb4c,chr15
100503729,8269,100503729,NA,NA
107831,8270,107831,Adgrb1,chr15
69439,8271,69439,Mroh4,chr15
11838,8272,11838,Arc,chr15
16469,8273,16469,Jrk,chr15
66769,8274,66769,4933427E11Rik,chr15
72373,8275,72373,Psca,chr15
223626,8276,223626,Them6,chr15
57277,8277,57277,Slurp1,chr15
68311,8278,68311,Lypd2,chr15
69462,8279,69462,Slurp2,chr15
23936,8280,23936,Lynx1,chr15
17068,8281,17068,Ly6d,chr15
78725,8282,78725,Ly6g6g,chr15
76486,8283,76486,Ly6k,chr15
625599,8284,625599,Gml,chr15
15202,8285,15202,Gml2,chr15
110115,8286,110115,Cyp11b1,chr15
13072,8287,13072,Cyp11b2,chr15
67038,8288,67038,Ly6m,chr15
17069,8289,17069,Ly6e,chr15
57248,8290,57248,Ly6i,chr15
110454,8291,110454,Ly6a,chr15
17067,8292,17067,Ly6c1,chr15
100041546,8293,100041546,Ly6c2,chr15
546643,8294,546643,Ly6a2,NA
546644,8295,546644,Ly6g,chr15
223631,8296,223631,Ly6g2,chr15
17071,8297,17071,Ly6f,chr15
100041107,8298,100041107,Gm3142,NA
105892,8299,105892,9030619P08Rik,chr15
23934,8300,23934,Ly6h,chr15
68453,8301,68453,Gpihbp1,chr15
22701,8302,22701,Zfp41,chr15
100503873,8303,100503873,Gm19937,NA
72665,8304,72665,2810039B14Rik,NA
72960,8305,72960,Top1mt,chr15
14787,8306,14787,Rhpn1,chr15
378435,8307,378435,Mafa,chr15
223642,8308,223642,Zc3h3,chr15
100861886,8309,100861886,NA,NA
69146,8310,69146,Gsdmd,chr15
223645,8311,223645,Mroh6,chr15
223646,8312,223646,Naprt,chr15
66656,8313,66656,Eef1d,chr15
105734,8314,105734,Tigd5,chr15
66194,8315,66194,Pycrl,chr15
22122,8316,22122,Gfus,chr15
78834,8317,78834,Zfp623,chr15
69020,8318,69020,Zfp707,chr15
223648,8319,223648,Ccdc166,chr15
332110,8320,332110,Mapk15,chr15
105732,8321,105732,Fam83h,chr15
432964,8322,432964,Iqank1,chr15
105782,8323,105782,Scrib,chr15
67959,8324,67959,Puf60,chr15
223649,8325,223649,Nrbp2,chr15
223650,8326,223650,Eppk1,chr15
271278,8327,271278,BC024139,chr15
100503893,8328,100503893,NA,NA
18810,8329,18810,Plec,chr15
100316774,8330,100316774,Mir1942,chr15
671535,8331,671535,Parp10,chr15
66168,8332,66168,Grina,chr15
100038659,8333,100038659,Mirt2,chr15
74281,8334,74281,Spatc1,chr15
100526548,8335,100526548,Mir3079,chr15
100503915,8336,100503915,Smpd5,chr15
75475,8337,75475,Oplah,chr15
109075,8338,109075,Exosc4,chr15
14731,8339,14731,Gpaa1,chr15
66445,8340,66445,Cyc1,chr15
106025,8341,106025,Sharpin,chr15
68877,8342,68877,Maf1,chr15
59053,8343,59053,Hgh1,chr15
73542,8344,73542,Tssk5,chr15
223658,8345,223658,Mroh1,chr15
12181,8346,12181,Bop1,chr15
20289,8347,20289,Scx,chr15
15499,8348,15499,Hsf1,chr15
13350,8349,13350,Dgat1,chr15
170729,8350,170729,Scrt1,chr15
666504,8351,666504,Tmem249,NA
30840,8352,30840,Fbxl6,chr15
52710,8353,52710,Slc52a2,chr15
268822,8354,268822,Adck5,chr15
94230,8355,94230,Cpsf1,chr15
72027,8356,72027,Slc39a4,chr15
66914,8357,66914,Vps28,chr15
72749,8358,72749,Tonsl,chr15
54151,8359,54151,Zftraf1,chr15
16581,8360,16581,Kifc2,chr15
100861904,8361,100861904,NA,NA
14106,8362,14106,Foxh1,chr15
73062,8363,73062,Ppp1r16a,chr15
76282,8364,76282,Gpt,chr15
69572,8365,69572,Mfsd3,chr15
79456,8366,79456,Recql4,chr15
223664,8367,223664,Lrrc14,chr15
378937,8368,378937,Lrrc24,chr15
223665,8369,223665,C030006K11Rik,chr15
223666,8370,223666,Arhgap39,chr15
71591,8371,71591,Zfp251,chr15
223669,8372,223669,Zfp7,chr15
66398,8373,66398,Commd5,chr15
26961,8374,26961,Rpl8,chr15
239546,8375,239546,Zfp647,chr15
117171,8376,117171,1110038F14Rik,chr15
17189,8377,17189,Mb,chr15
71939,8378,71939,Apol6,chr15
93686,8379,93686,Rbfox2,chr15
100042318,8380,100042318,NA,NA
75761,8381,75761,Apol7a,chr15
223672,8382,223672,Apol9a,chr15
278679,8383,278679,Apol7b,chr15
245282,8384,245282,Apol10a,chr15
626615,8385,626615,Apol11a,chr15
108956,8386,108956,Apol7c,chr15
76409,8387,76409,1700025B11Rik,chr15
328561,8388,328561,Apol10b,chr15
666661,8389,666661,Gm8221,NA
328563,8390,328563,Apol11b,chr15
666348,8391,666348,Apol7e,chr15
71898,8392,71898,Apol9b,chr15
239552,8393,239552,Apol8,chr15
17886,8394,17886,Myh9,chr15
56551,8395,56551,Txn2,chr15
239554,8396,239554,Foxred2,chr15
55944,8397,55944,Eif3d,chr15
100504021,8398,100504021,Gm17638,NA
12300,8399,12300,Cacng2,chr15
100861922,8400,100861922,NA,NA
67042,8401,67042,Ift27,chr15
19293,8402,19293,Pvalb,chr15
17972,8403,17972,Ncf4,chr15
12984,8404,12984,Csf2rb2,chr15
12983,8405,12983,Csf2rb,chr15
100504034,8406,100504034,NA,NA
73376,8407,73376,Tex33,chr15
22117,8408,22117,Tst,chr15
246221,8409,246221,Mpst,chr15
72844,8410,72844,Kctd17,chr15
71753,8411,71753,Tmprss6,chr15
16185,8412,16185,Il2rb,chr15
72709,8413,72709,C1qtnf6,chr15
20607,8414,20607,Sstr3,chr15
19354,8415,19354,Rac2,chr15
72318,8416,72318,Cyth4,chr15
207393,8417,207393,Elfn2,chr15
17305,8418,17305,Mfng,chr15
105844,8419,105844,Card10,chr15
104445,8420,104445,Cdc42ep1,chr15
107753,8421,107753,Lgals2,chr15
106039,8422,106039,Gga1,chr15
100504071,8423,100504071,Gm20044,NA
100038696,8424,100038696,Gm10866,NA
20401,8425,20401,Sh3bp1,chr15
57028,8426,57028,Pdxp,chr15
16852,8427,16852,Lgals1,chr15
97961,8428,97961,Nol12,chr15
110253,8429,110253,Triobp,chr15
100038602,8430,100038602,Gm10865,chr15
654469,8431,654469,Gm17753,chr15
14958,8432,14958,H1f0,chr15
26912,8433,26912,Gcat,chr15
14429,8434,14429,Galr3,chr15
223690,8435,223690,Ankrd54,chr15
223691,8436,223691,Eif3l,chr15
27008,8437,27008,Micall1,chr15
27660,8438,27660,1700088E04Rik,chr15
69833,8439,69833,Polr2f,chr15
20665,8440,20665,Sox10,chr15
100041655,8441,100041655,Gm10863,chr15
100038573,8442,100038573,Gm10864,NA
18693,8443,18693,Pick1,chr15
57274,8444,57274,Slc16a8,chr15
207495,8445,207495,Baiap2l2,chr15
53357,8446,53357,Pla2g6,chr15
17133,8447,17133,Maff,chr15
223693,8448,223693,Tmem184b,chr15
100316695,8449,100316695,Mir1943,chr15
27373,8450,27373,Csnk1e,chr15
100503109,8451,100503109,NA,NA
16520,8452,16520,Kcnj4,chr15
105785,8453,105785,Kdelr3,chr15
67040,8454,67040,Ddx17,chr15
13404,8455,13404,Dmc1,chr15
75729,8456,75729,Fam227a,chr15
73739,8457,73739,Cby1,chr15
223696,8458,223696,Tomm22,chr15
74158,8459,74158,Josd1,chr15
14904,8460,14904,Gtpbp1,chr15
223697,8461,223697,Sun2,chr15
100504191,8462,100504191,Gm16576,chr15
54152,8463,54152,Dnal4,chr15
504193,8464,504193,Npcd,chr15
73340,8465,73340,Nptxr,chr15
494448,8466,494448,Cbx6,chr15
100038357,8467,100038357,Gm10856,NA
109361,8468,109361,D730005E14Rik,NA
80287,8469,80287,Apobec3,chr15
52609,8470,52609,Cbx7,chr15
18591,8471,18591,Pdgfb,chr15
27367,8472,27367,Rpl3,chr15
100302601,8473,100302601,Snord83b,chr15
100302600,8474,100302600,Snord43,chr15
20972,8475,20972,Syngr1,chr15
66513,8476,66513,Tab1,chr15
17309,8477,17309,Mgat3,chr15
239555,8478,239555,Mief1,chr15
11911,8479,11911,Atf4,chr15
100861991,8480,100861991,NA,NA
66538,8481,66538,Rps19bp1,chr15
239556,8482,239556,Cacna1i,chr15
383075,8483,383075,Enthd1,chr15
17444,8484,17444,Grap2,chr15
213956,8485,213956,Fam83f,chr15
106059,8486,106059,A430088P11Rik,chr15
213988,8487,213988,Tnrc6b,chr15
100628612,8488,100628612,Mir5113,chr15
11564,8489,11564,Adsl,chr15
105835,8490,105835,Sgsm3,chr15
223701,8491,223701,Mrtfa,chr15
67638,8492,67638,4930483J18Rik,chr15
207911,8493,207911,Mchr1,chr15
78102,8494,78102,8430426J06Rik,chr15
20524,8495,20524,Slc25a17,chr15
70356,8496,70356,St13,chr15
321003,8497,321003,Xpnpep3,chr15
57755,8498,57755,Dnajb7,chr15
56438,8499,56438,Rbx1,chr15
383080,8500,383080,NA,NA
328572,8501,328572,Ep300,chr15
214669,8502,214669,L3mbtl2,chr15
214685,8503,214685,Chadl,chr15
19387,8504,19387,Rangap1,chr15
20286,8505,20286,Zc3h7b,chr15
100504312,8506,100504312,Gm17597,chr15
21685,8507,21685,Tef,chr15
57259,8508,57259,Tob2,chr15
68479,8509,68479,Phf5a,chr15
11429,8510,11429,Aco2,chr15
78929,8511,78929,Polr3h,chr15
105859,8512,105859,Csdc2,chr15
29858,8513,29858,Pmm1,chr15
66346,8514,66346,Ndufb11b,chr15
28075,8515,28075,Desi1,chr15
14375,8516,14375,Xrcc6,chr15
20826,8517,20826,Snu13,chr15
328573,8518,328573,4930407I10Rik,chr15
74369,8519,74369,Mei1,chr15
76457,8520,76457,Ccdc134,chr15
20788,8521,20788,Srebf2,chr15
723897,8522,723897,Mir33,chr15
435145,8523,435145,Shisa8,chr15
72049,8524,72049,Tnfrsf13c,chr15
66570,8525,66570,Cenpm,chr15
76505,8526,76505,Smim45,chr15
24050,8527,24050,Septin3,chr15
74716,8528,74716,Wbp2nl,chr15
17939,8529,17939,Naga,chr15
338368,8530,338368,Pheta2,chr15
69029,8531,69029,Smdt1,chr15
67130,8532,67130,Ndufa6,chr15
100862061,8533,100862061,NA,NA
56448,8534,56448,Cyp2d22,chr15
545123,8535,545123,Cyp2d11,chr15
13101,8536,13101,Cyp2d10,chr15
13105,8537,13105,Cyp2d9,chr15
545124,8538,545124,Tdg-ps,NA
380997,8539,380997,Cyp2d12,chr15
223706,8540,223706,Cyp2d34,chr15
68444,8541,68444,Cyp2d13,chr15
627860,8542,627860,Cyp2d37-ps,chr15
71754,8543,71754,Cyp2d40,chr15
76279,8544,76279,Cyp2d26,chr15
21411,8545,21411,Tcf20,chr15
21378,8546,21378,Tbrg3,NA
100504637,8547,100504637,Gm20324,chr15
100526477,8548,100526477,Mir3080,chr15
106026,8549,106026,AW121686,NA
74039,8550,74039,Nfam1,chr15
68607,8551,68607,Serhl,chr15
74778,8552,74778,Rrp7a,chr15
73826,8553,73826,Poldip3,chr15
104307,8554,104307,Rnu12,chr15
109754,8555,109754,Cyb5r3,chr15
100504676,8556,100504676,NA,NA
239559,8557,239559,A4galt,chr15
66251,8558,66251,Arfgap3,chr15
69291,8559,69291,1700001L05Rik,chr15
23970,8560,23970,Pacsin2,chr15
319953,8561,319953,Ttll1,chr15
12124,8562,12124,Bik,chr15
223722,8563,223722,Mcat,chr15
12257,8564,12257,Tspo,chr15
223723,8565,223723,Ttll12,chr15
64706,8566,64706,Scube1,chr15
223726,8567,223726,Mpped1,chr15
77627,8568,77627,Efcab6,chr15
29859,8569,29859,Sult4a1,chr15
75772,8570,75772,Pnpla5,chr15
116939,8571,116939,Pnpla3,chr15
68653,8572,68653,Samm50,chr15
170736,8573,170736,Parvb,chr15
64099,8574,64099,Parvg,chr15
72301,8575,72301,Shisal1,chr15
223732,8576,223732,Rtl6,chr15
109270,8577,109270,Prr5,chr15
328576,8578,328576,Gm20556,chr15
73167,8579,73167,Arhgap8,chr15
271305,8580,271305,Phf21b,chr15
18141,8581,18141,Nup50,chr15
223739,8582,223739,5031439G07Rik,chr15
100526461,8583,100526461,Mir1249,chr15
22270,8584,22270,Upk3a,chr15
73225,8585,73225,Fam118a,chr15
140557,8586,140557,Smc1b,chr15
100502582,8587,100502582,Gm10923,NA
67747,8588,67747,Ribc2,chr15
100502602,8589,100502602,Gm19277,chr15
14114,8590,14114,Fbln1,chr15
100861793,8591,100861793,NA,NA
54138,8592,54138,Atxn10,chr15
328577,8593,328577,7530416G11Rik,chr15
223745,8594,223745,Gm4825,NA
22422,8595,22422,Wnt7b,chr15
105975,8596,105975,AU022754,chr15
723966,8597,723966,Mirlet7c-2,chr15
387245,8598,387245,Mirlet7b,chr15
19013,8599,19013,Ppara,chr15
72355,8600,72355,Cdpf1,chr15
18766,8601,18766,Pkdrej,chr15
239570,8602,239570,Ttc38,chr15
29870,8603,29870,Gtse1,chr15
72026,8604,72026,Trmu,chr15
12614,8605,12614,Celsr1,chr15
223752,8606,223752,Gramd4,chr15
223753,8607,223753,Cerk,chr15
223754,8608,223754,Tbc1d22a,chr15
106014,8609,106014,Tafa5,chr15
328579,8610,328579,B230214G05Rik,chr15
70073,8611,70073,Zdhhc25,chr15
223770,8612,223770,Brd1,chr15
223773,8613,223773,Zbed4,chr15
223774,8614,223774,Alg12,chr15
76737,8615,76737,Creld2,chr15
223775,8616,223775,Pim3,chr15
100502684,8617,100502684,Gm20621,NA
239591,8618,239591,Ttll8,chr15
170790,8619,170790,Mlc1,chr15
667558,8620,667558,Gm8702,NA
83456,8621,83456,Mov10l1,chr15
406218,8622,406218,Panx2,chr15
69120,8623,69120,1810021B22Rik,chr15
67976,8624,67976,Trabd,chr15
223776,8625,223776,Selenoo,chr15
328580,8626,328580,Tubgcp6,chr15
170787,8627,170787,Hdac10,chr15
29857,8628,29857,Mapk12,chr15
19094,8629,19094,Mapk11,chr15
140570,8630,140570,Plxnb2,chr15
69440,8631,69440,Dennd6b,chr15
71474,8632,71474,Ppp6r2,chr15
77980,8633,77980,Sbf1,chr15
223780,8634,223780,Adm2,chr15
56727,8635,56727,Miox,chr15
105847,8636,105847,Lmf2,chr15
52683,8637,52683,Ncaph2,chr15
100126824,8638,100126824,Sco2,chr15
72962,8639,72962,Tymp,chr15
70113,8640,70113,Odf3b,chr15
546648,8641,546648,Klhdc7b,chr15
75459,8642,75459,Syce3,chr15
100134861,8643,100134861,Gm44502,chr15
12895,8644,12895,Cpt1b,chr15
12651,8645,12651,Chkb,chr15
60597,8646,60597,Mapk8ip2,chr15
11883,8647,11883,Arsa,chr15
100532730,8648,100532730,C230037L18Rik,chr15
58234,8649,58234,Shank3,chr15
11434,8650,11434,Acr,chr15
68708,8651,68708,Rabl2,chr15
100502796,8652,100502796,NA,NA
54526,8653,54526,Syt10,chr15
380959,8654,380959,Alg10b,chr15
100038621,8655,100038621,Gm10839,NA
66871,8656,66871,Cpne8,chr15
20738,8657,20738,Spn-ps,chr15
16564,8658,16564,Kif21a,chr15
635871,8659,635871,Gm7167,NA
26874,8660,26874,Abcd2,chr15
545126,8661,545126,CN725425,NA
239606,8662,239606,Slc2a13,chr15
66725,8663,66725,Lrrk2,chr15
239611,8664,239611,Muc19,NA
223809,8665,223809,Smgc,chr15
12805,8666,12805,Cntn1,chr15
239618,8667,239618,Pdzrn4,chr15
67740,8668,67740,4930588J15Rik,NA
223827,8669,223827,Gxylt1,chr15
67057,8670,67057,Yaf2,chr15
67197,8671,67197,Zcrb1,chr15
223828,8672,223828,Pphln1,chr15
106042,8673,106042,Prickle1,chr15
100502901,8674,100502901,NA,NA
77248,8675,77248,9430014N10Rik,chr15
328594,8676,328594,D630010B17Rik,NA
223838,8677,223838,Adamts20,chr15
78895,8678,78895,Pus7l,chr15
266632,8679,266632,Irak4,chr15
19230,8680,19230,Twf1,chr15
320709,8681,320709,Tmem117,chr15
100043315,8682,100043315,LOC100043315,chr15
54003,8683,54003,Nell2,chr15
223843,8684,223843,Dbx2,chr15
791370,8685,791370,A130051J06Rik,NA
105722,8686,105722,Ano6,chr15
100502979,8687,100502979,NA,NA
402773,8688,402773,D030018L15Rik,chr15
100043335,8689,100043335,Gm4371,NA
