gene_id,gene_id_version,chr,start,end,strand,gene_biotype,gene_name,gene_id_short
ENSMUSG00000004268,ENSMUSG00000004268.12,chr2,113840082.0,113844100.0,-,protein_coding,Gjd2,ENSMUSG00000004268
ENSMUSG00000004270,ENSMUSG00000004270.14,chr2,113877763.0,113884029.0,-,protein_coding,Actc1,ENSMUSG00000004270
ENSMUSG00000004285,ENSMUSG00000004285.13,chr5,134266688.0,134343614.0,-,protein_coding,Gtf2i,ENSMUSG00000004285
ENSMUSG00000004296,ENSMUSG00000004296.15,chr7,32024711.0,32026670.0,-,protein_coding,Scgb2b12,ENSMUSG00000004296
ENSMUSG00000004317,ENSMUSG00000004317.15,chr7,59541859.0,59541952.0,-,snoRNA,Snord116l3,ENSMUSG00000004317
ENSMUSG00000004319,ENSMUSG00000004319.16,chr6,52334529.0,52334809.0,-,processed_pseudogene,Gm15054,ENSMUSG00000004319
ENSMUSG00000004328,ENSMUSG00000004328.16,chr8,21515561.0,21516532.0,+,protein_coding,Defa21,ENSMUSG00000004328
ENSMUSG00000004341,ENSMUSG00000004341.9,chr3,4436868.0,4437084.0,+,processed_pseudogene,Gm34023,ENSMUSG00000004341
ENSMUSG00000004344,ENSMUSG00000004344.13,chr3,32565952.0,32566493.0,-,lncRNA,Gm37592,ENSMUSG00000004344
ENSMUSG00000004347,ENSMUSG00000004347.18,chr10,82455685.0,82459062.0,-,protein_coding,Uqcc6,ENSMUSG00000004347
ENSMUSG00000004356,ENSMUSG00000004356.9,chr12,22370383.0,22376043.0,-,unprocessed_pseudogene,Gm6838,ENSMUSG00000004356
ENSMUSG00000004359,ENSMUSG00000004359.17,chr2,91776048.0,91779033.0,+,lncRNA,Gm9821,ENSMUSG00000004359
ENSMUSG00000004360,ENSMUSG00000004360.10,chr7,8859276.0,8865651.0,-,transcribed_unprocessed_pseudogene,Gm20482,ENSMUSG00000004360
ENSMUSG00000004364,ENSMUSG00000004364.15,chr12,112586479.0,112607794.0,+,protein_coding,Adssl1,ENSMUSG00000004364
ENSMUSG00000004366,ENSMUSG00000004366.5,chr10,130371431.0,130371830.0,-,processed_pseudogene,Gm35405,ENSMUSG00000004366
ENSMUSG00000004371,ENSMUSG00000004371.16,chr6,118438911.0,118456281.0,-,protein_coding,Zfp9,ENSMUSG00000004371
ENSMUSG00000004383,ENSMUSG00000004383.19,chr2,4136874.0,4145952.0,-,lncRNA,1700080N15Rik,ENSMUSG00000004383
ENSMUSG00000004393,ENSMUSG00000004393.11,chr5,24901900.0,24909688.0,-,lncRNA,Gm26648,ENSMUSG00000004393
ENSMUSG00000004394,ENSMUSG00000004394.13,chr13,67944713.0,67979104.0,-,lncRNA,4930525G20Rik,ENSMUSG00000004394
ENSMUSG00000004415,ENSMUSG00000004415.16,chr17,65958724.0,66079747.0,-,protein_coding,Rab31,ENSMUSG00000004415
ENSMUSG00000004446,ENSMUSG00000004446.13,chr17,21926723.0,21944617.0,+,protein_coding,Zfp760,ENSMUSG00000004446
ENSMUSG00000004451,ENSMUSG00000004451.15,chr11,68712260.0,68762684.0,-,protein_coding,Ndel1,ENSMUSG00000004451
ENSMUSG00000004455,ENSMUSG00000004455.17,chr1,79584593.0,79649689.0,-,protein_coding,Ap1s3,ENSMUSG00000004455
ENSMUSG00000004460,ENSMUSG00000004460.18,chr10,12199165.0,12200405.0,-,lncRNA,Gm48723,ENSMUSG00000004460
ENSMUSG00000004462,ENSMUSG00000004462.8,chr10,119156139.0,119167767.0,+,lncRNA,4930477N07Rik,ENSMUSG00000004462
ENSMUSG00000004473,ENSMUSG00000004473.11,chr2,160838697.0,160838821.0,+,snoRNA,Gm25561,ENSMUSG00000004473
ENSMUSG00000004500,ENSMUSG00000004500.10,chr7,103754080.0,103758973.0,+,protein_coding,Or52d1,ENSMUSG00000004500
ENSMUSG00000004508,ENSMUSG00000004508.7,chr11,59468818.0,59469462.0,-,processed_pseudogene,Gm12261,ENSMUSG00000004508
ENSMUSG00000004530,ENSMUSG00000004530.13,chr18,58969739.0,59187132.0,+,protein_coding,Adamts19,ENSMUSG00000004530
ENSMUSG00000004535,ENSMUSG00000004535.13,chr7,43600088.0,43604365.0,+,protein_coding,Klk1b8,ENSMUSG00000004535
ENSMUSG00000004540,ENSMUSG00000004540.8,chr13,119623788.0,119624920.0,-,lncRNA,3110070M22Rik,ENSMUSG00000004540
ENSMUSG00000004542,ENSMUSG00000004542.16,chr2,156698536.0,156700132.0,-,TEC,4930518I15Rik,ENSMUSG00000004542
ENSMUSG00000004552,ENSMUSG00000004552.17,chr10,18720768.0,18732821.0,+,protein_coding,Perp,ENSMUSG00000004552
ENSMUSG00000004558,ENSMUSG00000004558.16,chr6,87782454.0,87783318.0,-,TEC,9930120I10Rik,ENSMUSG00000004558
ENSMUSG00000004561,ENSMUSG00000004561.15,chr6,87574729.0,87576169.0,+,lncRNA,Gm34312,ENSMUSG00000004561
ENSMUSG00000004562,ENSMUSG00000004562.17,chr2,38647883.0,38648698.0,-,TEC,Gm44146,ENSMUSG00000004562
ENSMUSG00000004565,ENSMUSG00000004565.16,chrX,25961971.0,25962063.0,+,unprocessed_pseudogene,Gm14533,ENSMUSG00000004565
ENSMUSG00000004567,ENSMUSG00000004567.17,chr2,111674607.0,111682183.0,-,unprocessed_pseudogene,Or4f7d-ps1,ENSMUSG00000004567
ENSMUSG00000004568,ENSMUSG00000004568.14,chrX,137642545.0,137645193.0,-,processed_pseudogene,Gm15001,ENSMUSG00000004568
ENSMUSG00000004591,ENSMUSG00000004591.17,chr7,96958587.0,96981227.0,-,protein_coding,Usp35,ENSMUSG00000004591
ENSMUSG00000004609,ENSMUSG00000004609.12,chr11,74796935.0,74797025.0,+,snoRNA,Gm22771,ENSMUSG00000004609
ENSMUSG00000004610,ENSMUSG00000004610.5,chr14,90593823.0,90593953.0,+,snoRNA,Gm25495,ENSMUSG00000004610
ENSMUSG00000004612,ENSMUSG00000004612.10,chr3,126799018.0,126799149.0,+,snoRNA,Gm25501,ENSMUSG00000004612
ENSMUSG00000004613,,,,,,,,
ENSMUSG00000004626,ENSMUSG00000004626.15,chr4,8118620.0,8119736.0,+,processed_pseudogene,Gm11800,ENSMUSG00000004626
ENSMUSG00000004630,ENSMUSG00000004630.19,chrX,78052353.0,78052574.0,-,processed_pseudogene,H2al1q-ps,ENSMUSG00000004630
ENSMUSG00000004631,ENSMUSG00000004631.16,chr4,82816157.0,82970576.0,-,protein_coding,Frem1,ENSMUSG00000004631
ENSMUSG00000004633,ENSMUSG00000004633.18,chr4,107110790.0,107137135.0,+,protein_coding,Hspb11,ENSMUSG00000004633
ENSMUSG00000004637,ENSMUSG00000004637.16,chr4,106356010.0,106397743.0,-,protein_coding,Tmem61,ENSMUSG00000004637
ENSMUSG00000004642,ENSMUSG00000004642.14,chr7,126941967.0,126944761.0,-,protein_coding,Zfp768,ENSMUSG00000004642
ENSMUSG00000004651,ENSMUSG00000004651.7,chr5,111053110.0,111053607.0,+,processed_pseudogene,Gm15989,ENSMUSG00000004651
ENSMUSG00000004654,ENSMUSG00000004654.7,chr14,14825796.0,14833408.0,+,protein_coding,Gm10128,ENSMUSG00000004654
ENSMUSG00000004655,ENSMUSG00000004655.6,chr2,13855093.0,14060847.0,-,protein_coding,Hacd1,ENSMUSG00000004655
ENSMUSG00000004661,ENSMUSG00000004661.16,chrX,125808519.0,125808641.0,+,snoRNA,Gm23586,ENSMUSG00000004661
ENSMUSG00000004665,ENSMUSG00000004665.11,chr9,19620729.0,19626226.0,+,protein_coding,Or7e166,ENSMUSG00000004665
ENSMUSG00000004667,ENSMUSG00000004667.19,chr7,22972226.0,22978325.0,-,protein_coding,Gm6902,ENSMUSG00000004667
ENSMUSG00000004668,ENSMUSG00000004668.15,chr13,56370037.0,56391753.0,-,lncRNA,4930550C17Rik,ENSMUSG00000004668
ENSMUSG00000004677,ENSMUSG00000004677.19,chr1,25490152.0,25490255.0,+,snRNA,Gm25294,ENSMUSG00000004677
ENSMUSG00000004698,ENSMUSG00000004698.12,chr1,29969175.0,29969796.0,+,processed_pseudogene,Gm7858,ENSMUSG00000004698
ENSMUSG00000004707,ENSMUSG00000004707.15,chr12,108300640.0,108328493.0,+,protein_coding,Cyp46a1,ENSMUSG00000004707
ENSMUSG00000004709,ENSMUSG00000004709.15,chr12,108145838.0,108169618.0,+,protein_coding,Ccnk,ENSMUSG00000004709
ENSMUSG00000004730,ENSMUSG00000004730.16,chr15,18007516.0,18007931.0,+,processed_pseudogene,Gm18532,ENSMUSG00000004730
ENSMUSG00000004748,ENSMUSG00000004748.6,chr5,117450583.0,117453710.0,-,lncRNA,BC051077,ENSMUSG00000004748
ENSMUSG00000004768,ENSMUSG00000004768.15,chr6,5168090.0,5193946.0,-,protein_coding,Pon1,ENSMUSG00000004768
ENSMUSG00000004771,ENSMUSG00000004771.13,chr18,46074074.0,46074200.0,+,snoRNA,Gm26262,ENSMUSG00000004771
ENSMUSG00000004788,ENSMUSG00000004788.12,chr3,51780411.0,51783257.0,-,TEC,Gm37675,ENSMUSG00000004788
ENSMUSG00000004789,ENSMUSG00000004789.11,chr6,41473863.0,41474238.0,+,processed_pseudogene,Gm37841,ENSMUSG00000004789
ENSMUSG00000004791,ENSMUSG00000004791.8,chr1,158376434.0,158379536.0,-,TEC,Gm37848,ENSMUSG00000004791
ENSMUSG00000004798,ENSMUSG00000004798.15,chr14,69396120.0,69396968.0,+,processed_pseudogene,Rps2-ps5,ENSMUSG00000004798
ENSMUSG00000004814,ENSMUSG00000004814.11,chr3,54804489.0,54823308.0,-,protein_coding,Sertm1,ENSMUSG00000004814
ENSMUSG00000004815,ENSMUSG00000004815.13,chr12,21040460.0,21320172.0,+,protein_coding,Asap2,ENSMUSG00000004815
ENSMUSG00000004821,ENSMUSG00000004821.2,chrX,133872121.0,133909958.0,-,protein_coding,Zmat1,ENSMUSG00000004821
ENSMUSG00000004837,ENSMUSG00000004837.3,chr12,119964262.0,119964703.0,+,processed_pseudogene,Gm27236,ENSMUSG00000004837
ENSMUSG00000004842,ENSMUSG00000004842.19,chr10,86437645.0,86438791.0,+,processed_pseudogene,Gm48464,ENSMUSG00000004842
ENSMUSG00000004843,ENSMUSG00000004843.8,chr10,53111283.0,53136832.0,+,lncRNA,Gm36173,ENSMUSG00000004843
ENSMUSG00000004846,ENSMUSG00000004846.11,chr1,170978280.0,170988699.0,+,protein_coding,Mpz,ENSMUSG00000004846
ENSMUSG00000004849,ENSMUSG00000004849.15,chr17,37394763.0,37399391.0,-,protein_coding,Or2h2,ENSMUSG00000004849
ENSMUSG00000004864,ENSMUSG00000004864.14,chr13,17118431.0,17120154.0,+,processed_pseudogene,Gm48499,ENSMUSG00000004864
ENSMUSG00000004865,ENSMUSG00000004865.17,chr12,111034198.0,111034462.0,-,processed_pseudogene,Gm46379,ENSMUSG00000004865
ENSMUSG00000004872,ENSMUSG00000004872.16,chr11,76617428.0,76654405.0,-,protein_coding,Gosr1,ENSMUSG00000004872
ENSMUSG00000004880,ENSMUSG00000004880.12,chr14,14246210.0,14255878.0,-,protein_coding,Kctd6,ENSMUSG00000004880
ENSMUSG00000004885,ENSMUSG00000004885.6,chr9,14797110.0,14815245.0,-,protein_coding,Izumo1r,ENSMUSG00000004885
ENSMUSG00000004891,ENSMUSG00000004891.17,chr9,15171647.0,15191227.0,-,protein_coding,Med17,ENSMUSG00000004891
ENSMUSG00000004892,ENSMUSG00000004892.14,chr9,14963137.0,15023404.0,-,protein_coding,Hephl1,ENSMUSG00000004892
ENSMUSG00000004894,ENSMUSG00000004894.11,chr9,15150341.0,15170712.0,+,protein_coding,Vstm5,ENSMUSG00000004894
ENSMUSG00000004895,ENSMUSG00000004895.10,chr9,14667883.0,14682326.0,-,protein_coding,1700012B09Rik,ENSMUSG00000004895
ENSMUSG00000004896,ENSMUSG00000004896.17,chr9,14690914.0,14696152.0,-,protein_coding,Ankrd49,ENSMUSG00000004896
ENSMUSG00000004897,ENSMUSG00000004897.18,chr9,14695950.0,14748419.0,+,protein_coding,Mre11a,ENSMUSG00000004897
ENSMUSG00000004902,ENSMUSG00000004902.8,chr4,147216495.0,147265036.0,+,protein_coding,Zfp991,ENSMUSG00000004902
ENSMUSG00000004929,ENSMUSG00000004929.13,chr6,40941688.0,40945369.0,+,protein_coding,1810009J06Rik,ENSMUSG00000004929
ENSMUSG00000004931,ENSMUSG00000004931.12,chr17,6374300.0,6374917.0,-,processed_pseudogene,Ppp1r2-ps1,ENSMUSG00000004931
ENSMUSG00000004933,ENSMUSG00000004933.18,chr5,137243270.0,137246852.0,-,protein_coding,Muc3a,ENSMUSG00000004933
ENSMUSG00000004934,ENSMUSG00000004934.15,chr7,140226365.0,140232998.0,+,protein_coding,Or13a20,ENSMUSG00000004934
ENSMUSG00000004936,ENSMUSG00000004936.9,chr2,97068163.0,97068291.0,+,snoRNA,Gm22313,ENSMUSG00000004936
ENSMUSG00000004937,ENSMUSG00000004937.7,chr15,82287047.0,82291396.0,-,protein_coding,Cyp2d10,ENSMUSG00000004937
ENSMUSG00000004939,ENSMUSG00000004939.8,chrY,16923785.0,16924282.0,+,lncRNA,Gm21809,ENSMUSG00000004939
ENSMUSG00000004945,ENSMUSG00000004945.16,chr13,14733703.0,14733894.0,+,processed_pseudogene,Gm48096,ENSMUSG00000004945
ENSMUSG00000004947,ENSMUSG00000004947.16,chr16,27172072.0,27188989.0,-,protein_coding,Uts2b,ENSMUSG00000004947
ENSMUSG00000004948,ENSMUSG00000004948.13,chr9,96317704.0,96320274.0,-,lncRNA,BC043934,ENSMUSG00000004948
ENSMUSG00000004951,ENSMUSG00000004951.11,chr7,13011239.0,13045350.0,+,protein_coding,Lig1,ENSMUSG00000004951
ENSMUSG00000004952,ENSMUSG00000004952.14,chr6,72585415.0,72593983.0,-,protein_coding,Tgoln1,ENSMUSG00000004952
ENSMUSG00000004961,ENSMUSG00000004961.8,chr15,53748302.0,53749993.0,+,lncRNA,Gm7489,ENSMUSG00000004961
ENSMUSG00000004980,ENSMUSG00000004980.17,chr7,89566737.0,89590412.0,-,protein_coding,Hikeshi,ENSMUSG00000004980
ENSMUSG00000004988,ENSMUSG00000004988.10,chr15,101383011.0,101389393.0,-,protein_coding,Krt83,ENSMUSG00000004988
ENSMUSG00000004994,ENSMUSG00000004994.13,chr12,107045619.0,107065932.0,-,lncRNA,Gm16086,ENSMUSG00000004994
ENSMUSG00000004996,ENSMUSG00000004996.10,chr7,120464732.0,120474521.0,-,lncRNA,Gm15774,ENSMUSG00000004996
ENSMUSG00000005034,ENSMUSG00000005034.16,chr10,105599050.0,105677241.0,-,protein_coding,Mettl25,ENSMUSG00000005034
ENSMUSG00000005043,ENSMUSG00000005043.14,chrY,32478690.0,32481921.0,-,lncRNA,Gm28762,ENSMUSG00000005043
ENSMUSG00000005045,ENSMUSG00000005045.17,chr2,25132941.0,25134274.0,+,protein_coding,Rnf208,ENSMUSG00000005045
ENSMUSG00000005054,ENSMUSG00000005054.8,chr12,115586781.0,115587215.0,-,IG_V_gene,Ighv1-69,ENSMUSG00000005054
ENSMUSG00000005057,ENSMUSG00000005057.14,chr17,43671342.0,43770448.0,+,protein_coding,Adgrf5,ENSMUSG00000005057
ENSMUSG00000005069,ENSMUSG00000005069.13,chr6,48916732.0,48917061.0,-,processed_pseudogene,Gm10242,ENSMUSG00000005069
ENSMUSG00000005078,ENSMUSG00000005078.17,chr12,114425911.0,114426350.0,-,IG_V_gene,Ighv8-2,ENSMUSG00000005078
ENSMUSG00000005087,ENSMUSG00000005087.18,chr2,3571525.0,3783179.0,+,protein_coding,Fam107b,ENSMUSG00000005087
ENSMUSG00000005089,ENSMUSG00000005089.16,chr1,170941487.0,170954536.0,+,protein_coding,Cfap126,ENSMUSG00000005089
ENSMUSG00000005102,ENSMUSG00000005102.14,chr2,103242033.0,103281334.0,+,protein_coding,Elf5,ENSMUSG00000005102
ENSMUSG00000005103,ENSMUSG00000005103.13,chr3,84500881.0,84504339.0,+,protein_coding,Tigd4,ENSMUSG00000005103
ENSMUSG00000005107,ENSMUSG00000005107.14,chr15,57599959.0,57602062.0,-,lncRNA,9330154K18Rik,ENSMUSG00000005107
ENSMUSG00000005124,ENSMUSG00000005124.11,chr8,91542773.0,91544021.0,-,protein_coding,Gm19935,ENSMUSG00000005124
ENSMUSG00000005125,ENSMUSG00000005125.14,chr8,27937128.0,28110945.0,+,protein_coding,Gm45861,ENSMUSG00000005125
ENSMUSG00000005131,ENSMUSG00000005131.5,chr11,11863621.0,11863748.0,-,scaRNA,Gm25058,ENSMUSG00000005131
ENSMUSG00000005142,ENSMUSG00000005142.11,chr4,102824463.0,102846952.0,-,lncRNA,Gm12709,ENSMUSG00000005142
ENSMUSG00000005148,ENSMUSG00000005148.9,chr7,119320034.0,119334983.0,-,lncRNA,Gm44866,ENSMUSG00000005148
ENSMUSG00000005150,ENSMUSG00000005150.17,chr4,152436655.0,152438098.0,-,lncRNA,Gm13645,ENSMUSG00000005150
ENSMUSG00000005161,ENSMUSG00000005161.16,chr11,65164428.0,65256757.0,-,lncRNA,Gm12295,ENSMUSG00000005161
ENSMUSG00000005198,ENSMUSG00000005198.16,chr8,85788715.0,85788800.0,+,miRNA,Mir7070,ENSMUSG00000005198
ENSMUSG00000005202,ENSMUSG00000005202.3,chr6,83377978.0,83378084.0,-,miRNA,Mir6374,ENSMUSG00000005202
ENSMUSG00000005204,ENSMUSG00000005204.13,chr17,57524172.0,57524228.0,-,miRNA,Mir6978,ENSMUSG00000005204
ENSMUSG00000005220,ENSMUSG00000005220.11,chr7,127462219.0,127476000.0,-,protein_coding,Zfp668,ENSMUSG00000005220
ENSMUSG00000005225,ENSMUSG00000005225.16,chr9,38576209.0,38577138.0,-,protein_coding,Or8b52,ENSMUSG00000005225
ENSMUSG00000005232,ENSMUSG00000005232.12,chr11,120509198.0,120516066.0,-,protein_coding,Sirt7,ENSMUSG00000005232
ENSMUSG00000005233,ENSMUSG00000005233.17,chr11,120500913.0,120508762.0,-,protein_coding,Pcyt2,ENSMUSG00000005233
ENSMUSG00000005237,ENSMUSG00000005237.15,chr1,10030388.0,10038157.0,-,protein_coding,Tcf24,ENSMUSG00000005237
ENSMUSG00000005251,ENSMUSG00000005251.16,chr12,65027404.0,65029710.0,-,lncRNA,Gm48559,ENSMUSG00000005251
ENSMUSG00000005262,ENSMUSG00000005262.14,chr10,114783836.0,114788740.0,+,lncRNA,Gm31267,ENSMUSG00000005262
ENSMUSG00000005267,ENSMUSG00000005267.14,chr8,88081129.0,88099703.0,-,lncRNA,Gm27207,ENSMUSG00000005267
ENSMUSG00000005268,ENSMUSG00000005268.21,chr8,11724574.0,11727110.0,+,TEC,Gm7562,ENSMUSG00000005268
ENSMUSG00000005299,ENSMUSG00000005299.7,chr17,71151200.0,71160541.0,-,protein_coding,Tgif1,ENSMUSG00000005299
ENSMUSG00000005312,ENSMUSG00000005312.16,chr3,80041439.0,80043763.0,+,TEC,Gm43839,ENSMUSG00000005312
ENSMUSG00000005320,ENSMUSG00000005320.10,chr5,133563429.0,133627245.0,-,lncRNA,Gm36667,ENSMUSG00000005320
ENSMUSG00000005338,ENSMUSG00000005338.15,chr13,51325058.0,51329224.0,+,protein_coding,Nxnl2,ENSMUSG00000005338
ENSMUSG00000005339,ENSMUSG00000005339.11,chr13,49761522.0,49777977.0,+,protein_coding,Ogn,ENSMUSG00000005339
ENSMUSG00000005354,ENSMUSG00000005354.17,chr8,106016310.0,106018117.0,+,lncRNA,Gm20163,ENSMUSG00000005354
ENSMUSG00000005355,ENSMUSG00000005355.10,chr7,14639383.0,14640106.0,+,unprocessed_pseudogene,Obox4-ps6,ENSMUSG00000005355
ENSMUSG00000005357,ENSMUSG00000005357.10,chrX,3396756.0,3398715.0,-,protein_coding,Btbd35f11,ENSMUSG00000005357
ENSMUSG00000005360,ENSMUSG00000005360.15,chr2,109501253.0,109506936.0,-,lncRNA,Gm45346,ENSMUSG00000005360
ENSMUSG00000005362,ENSMUSG00000005362.15,chr12,91857670.0,91858047.0,-,processed_pseudogene,Rpl31-ps1,ENSMUSG00000005362
ENSMUSG00000005364,ENSMUSG00000005364.12,chr9,106391772.0,106393209.0,+,protein_coding,Iqcf5,ENSMUSG00000005364
ENSMUSG00000005370,ENSMUSG00000005370.5,chr15,54947957.0,54961095.0,+,lncRNA,Gm41325,ENSMUSG00000005370
ENSMUSG00000005371,ENSMUSG00000005371.16,chr14,114546132.0,114548235.0,-,processed_pseudogene,Gm19829,ENSMUSG00000005371
ENSMUSG00000005373,ENSMUSG00000005373.14,chr8,11563977.0,11600783.0,-,protein_coding,Cars2,ENSMUSG00000005373
ENSMUSG00000005374,ENSMUSG00000005374.14,chr13,31158147.0,31160231.0,+,TEC,Gm5447,ENSMUSG00000005374
ENSMUSG00000005378,ENSMUSG00000005378.18,chr10,53351060.0,53351565.0,+,processed_pseudogene,Tmem229b-ps,ENSMUSG00000005378
ENSMUSG00000005397,ENSMUSG00000005397.9,chr1,41206747.0,41220412.0,-,lncRNA,4930448I06Rik,ENSMUSG00000005397
ENSMUSG00000005410,ENSMUSG00000005410.7,chr12,108169861.0,108241684.0,-,protein_coding,Ccdc85c,ENSMUSG00000005410
ENSMUSG00000005413,ENSMUSG00000005413.9,chr17,47998535.0,48002008.0,+,lncRNA,Tomm6os,ENSMUSG00000005413
ENSMUSG00000005417,ENSMUSG00000005417.18,chr11,60091364.0,60091443.0,-,miRNA,Mir6921,ENSMUSG00000005417
ENSMUSG00000005442,ENSMUSG00000005442.14,chr15,98083894.0,98093423.0,-,protein_coding,Or10ad1c,ENSMUSG00000005442
ENSMUSG00000005447,ENSMUSG00000005447.13,chr11,114142669.0,114143953.0,+,lncRNA,Gm11691,ENSMUSG00000005447
ENSMUSG00000005465,ENSMUSG00000005465.10,chr3,156194144.0,156267396.0,-,lncRNA,4930570G19Rik,ENSMUSG00000005465
ENSMUSG00000005469,ENSMUSG00000005469.11,chr11,90025668.0,90034450.0,-,lncRNA,Gm11494,ENSMUSG00000005469
ENSMUSG00000005470,ENSMUSG00000005470.9,chrX,22305115.0,22305657.0,-,processed_pseudogene,Gm14562,ENSMUSG00000005470
ENSMUSG00000005474,ENSMUSG00000005474.10,chr7,46633328.0,46637551.0,+,protein_coding,Misfa,ENSMUSG00000005474
ENSMUSG00000005481,ENSMUSG00000005481.19,chrX,29786956.0,29836998.0,+,lncRNA,E330016L19Rik,ENSMUSG00000005481
ENSMUSG00000005483,ENSMUSG00000005483.11,chr18,66424345.0,66452716.0,+,lncRNA,Gm15958,ENSMUSG00000005483
ENSMUSG00000005493,ENSMUSG00000005493.16,chr11,52287255.0,52299555.0,+,protein_coding,9530068E07Rik,ENSMUSG00000005493
ENSMUSG00000005501,ENSMUSG00000005501.15,chr7,66040638.0,66077265.0,-,protein_coding,Aldh1a3,ENSMUSG00000005501
ENSMUSG00000005503,ENSMUSG00000005503.9,chr13,21937605.0,21937997.0,-,protein_coding,H2ac15,ENSMUSG00000005503
ENSMUSG00000005505,ENSMUSG00000005505.13,chr1,130616919.0,130656990.0,-,protein_coding,Pfkfb2,ENSMUSG00000005505
ENSMUSG00000005506,ENSMUSG00000005506.17,chr1,135764092.0,135779998.0,+,protein_coding,Tnnt2,ENSMUSG00000005506
ENSMUSG00000005510,ENSMUSG00000005510.10,chr1,135980488.0,136047560.0,+,protein_coding,Cacna1s,ENSMUSG00000005510
ENSMUSG00000005514,ENSMUSG00000005514.15,chr15,40374718.0,40390673.0,-,lncRNA,Gm16294,ENSMUSG00000005514
ENSMUSG00000005533,ENSMUSG00000005533.11,chrX,94423977.0,94426086.0,-,processed_pseudogene,Gm14806,ENSMUSG00000005533
ENSMUSG00000005534,ENSMUSG00000005534.11,chrX,103790088.0,103790378.0,+,processed_pseudogene,Gm14822,ENSMUSG00000005534
ENSMUSG00000005540,ENSMUSG00000005540.11,chr4,152762205.0,152762460.0,-,processed_pseudogene,Gm13172,ENSMUSG00000005540
ENSMUSG00000005547,ENSMUSG00000005547.15,chr10,79883000.0,79892273.0,+,protein_coding,Gpx4,ENSMUSG00000005547
ENSMUSG00000005553,ENSMUSG00000005553.15,chr12,114251772.0,114252202.0,-,IG_V_gene,Ighv3-6,ENSMUSG00000005553
ENSMUSG00000005566,ENSMUSG00000005566.15,chr7,103583554.0,103589786.0,+,protein_coding,Or51ai2,ENSMUSG00000005566
ENSMUSG00000005575,ENSMUSG00000005575.17,chr7,103249782.0,103254066.0,+,protein_coding,Or52z14,ENSMUSG00000005575
ENSMUSG00000005580,ENSMUSG00000005580.12,chr9,39597325.0,39598238.0,-,protein_coding,Or10n7-ps1,ENSMUSG00000005580
ENSMUSG00000005583,ENSMUSG00000005583.17,chr5,146643432.0,146644306.0,+,lncRNA,4930573C15Rik,ENSMUSG00000005583
ENSMUSG00000005609,ENSMUSG00000005609.17,chrX,151348208.0,151348733.0,+,processed_pseudogene,Gm8475,ENSMUSG00000005609
ENSMUSG00000005610,ENSMUSG00000005610.18,chrX,15390664.0,15391000.0,-,processed_pseudogene,Gm14517,ENSMUSG00000005610
ENSMUSG00000005611,ENSMUSG00000005611.16,chr6,34350626.0,34357724.0,-,unprocessed_pseudogene,Gm13859,ENSMUSG00000005611
ENSMUSG00000005615,ENSMUSG00000005615.16,chr10,15546672.0,15547133.0,+,processed_pseudogene,Gm46188,ENSMUSG00000005615
ENSMUSG00000005621,ENSMUSG00000005621.12,chrX,77102996.0,77110193.0,+,unprocessed_pseudogene,Gm16458,ENSMUSG00000005621
ENSMUSG00000005625,ENSMUSG00000005625.16,chr9,103302123.0,103357619.0,-,protein_coding,Bfsp2,ENSMUSG00000005625
ENSMUSG00000005628,ENSMUSG00000005628.13,chr9,107491324.0,107512566.0,-,protein_coding,Gnai2,ENSMUSG00000005628
ENSMUSG00000005640,ENSMUSG00000005640.12,chr8,107877272.0,107914103.0,+,protein_coding,Cyb5b,ENSMUSG00000005640
ENSMUSG00000005649,ENSMUSG00000005649.18,chr7,102326789.0,102336534.0,-,protein_coding,Trim68,ENSMUSG00000005649
ENSMUSG00000005656,ENSMUSG00000005656.10,chr7,32732696.0,32733158.0,+,processed_pseudogene,Gm28384,ENSMUSG00000005656
ENSMUSG00000005667,ENSMUSG00000005667.9,chr1,45786055.0,45786185.0,+,snoRNA,Gm23974,ENSMUSG00000005667
ENSMUSG00000005672,ENSMUSG00000005672.13,chr7,131150502.0,131159743.0,+,protein_coding,Hmx2,ENSMUSG00000005672
ENSMUSG00000005674,ENSMUSG00000005674.10,chr13,4182614.0,4200653.0,-,protein_coding,Akr1c18,ENSMUSG00000005674
ENSMUSG00000005677,ENSMUSG00000005677.15,chr13,4241149.0,4255595.0,+,protein_coding,Akr1c13,ENSMUSG00000005677
ENSMUSG00000005681,ENSMUSG00000005681.13,chr13,3932018.0,3968220.0,-,protein_coding,Net1,ENSMUSG00000005681
ENSMUSG00000005682,ENSMUSG00000005682.10,chr13,111730068.0,111730145.0,-,processed_pseudogene,Gm10736,ENSMUSG00000005682
ENSMUSG00000005683,ENSMUSG00000005683.9,chr17,45852878.0,45860603.0,-,protein_coding,Tmem151b,ENSMUSG00000005683
ENSMUSG00000005686,ENSMUSG00000005686.18,chr4,26501443.0,26501659.0,-,processed_pseudogene,Gng2-ps1,ENSMUSG00000005686
ENSMUSG00000005687,ENSMUSG00000005687.15,chr19,60513134.0,60569463.0,-,protein_coding,Cacul1,ENSMUSG00000005687
ENSMUSG00000005696,ENSMUSG00000005696.12,chr8,27458699.0,27467010.0,-,lncRNA,Gm39150,ENSMUSG00000005696
ENSMUSG00000005698,ENSMUSG00000005698.16,chr17,13895924.0,13903778.0,-,lncRNA,Gm16046,ENSMUSG00000005698
